"","child","parent"
"1",61.7,70.5
"2",61.7,68.5
"3",61.7,65.5
"4",61.7,64.5
"5",61.7,64
"6",62.2,67.5
"7",62.2,67.5
"8",62.2,67.5
"9",62.2,66.5
"10",62.2,66.5
"11",62.2,66.5
"12",62.2,64.5
"13",63.2,70.5
"14",63.2,69.5
"15",63.2,68.5
"16",63.2,68.5
"17",63.2,68.5
"18",63.2,68.5
"19",63.2,68.5
"20",63.2,68.5
"21",63.2,68.5
"22",63.2,67.5
"23",63.2,67.5
"24",63.2,67.5
"25",63.2,67.5
"26",63.2,67.5
"27",63.2,66.5
"28",63.2,66.5
"29",63.2,66.5
"30",63.2,65.5
"31",63.2,65.5
"32",63.2,65.5
"33",63.2,65.5
"34",63.2,65.5
"35",63.2,65.5
"36",63.2,65.5
"37",63.2,65.5
"38",63.2,65.5
"39",63.2,64.5
"40",63.2,64.5
"41",63.2,64.5
"42",63.2,64.5
"43",63.2,64
"44",63.2,64
"45",64.2,69.5
"46",64.2,69.5
"47",64.2,69.5
"48",64.2,69.5
"49",64.2,69.5
"50",64.2,69.5
"51",64.2,69.5
"52",64.2,69.5
"53",64.2,69.5
"54",64.2,69.5
"55",64.2,69.5
"56",64.2,69.5
"57",64.2,69.5
"58",64.2,69.5
"59",64.2,69.5
"60",64.2,69.5
"61",64.2,68.5
"62",64.2,68.5
"63",64.2,68.5
"64",64.2,68.5
"65",64.2,68.5
"66",64.2,68.5
"67",64.2,68.5
"68",64.2,68.5
"69",64.2,68.5
"70",64.2,68.5
"71",64.2,68.5
"72",64.2,67.5
"73",64.2,67.5
"74",64.2,67.5
"75",64.2,67.5
"76",64.2,67.5
"77",64.2,67.5
"78",64.2,67.5
"79",64.2,67.5
"80",64.2,67.5
"81",64.2,67.5
"82",64.2,67.5
"83",64.2,67.5
"84",64.2,67.5
"85",64.2,67.5
"86",64.2,66.5
"87",64.2,66.5
"88",64.2,66.5
"89",64.2,66.5
"90",64.2,66.5
"91",64.2,65.5
"92",64.2,65.5
"93",64.2,65.5
"94",64.2,65.5
"95",64.2,65.5
"96",64.2,64.5
"97",64.2,64.5
"98",64.2,64.5
"99",64.2,64.5
"100",64.2,64
"101",64.2,64
"102",64.2,64
"103",64.2,64
"104",65.2,71.5
"105",65.2,70.5
"106",65.2,69.5
"107",65.2,69.5
"108",65.2,69.5
"109",65.2,69.5
"110",65.2,68.5
"111",65.2,68.5
"112",65.2,68.5
"113",65.2,68.5
"114",65.2,68.5
"115",65.2,68.5
"116",65.2,68.5
"117",65.2,68.5
"118",65.2,68.5
"119",65.2,68.5
"120",65.2,68.5
"121",65.2,68.5
"122",65.2,68.5
"123",65.2,68.5
"124",65.2,68.5
"125",65.2,68.5
"126",65.2,67.5
"127",65.2,67.5
"128",65.2,67.5
"129",65.2,67.5
"130",65.2,67.5
"131",65.2,67.5
"132",65.2,67.5
"133",65.2,67.5
"134",65.2,67.5
"135",65.2,67.5
"136",65.2,67.5
"137",65.2,67.5
"138",65.2,67.5
"139",65.2,67.5
"140",65.2,67.5
"141",65.2,66.5
"142",65.2,66.5
"143",65.2,65.5
"144",65.2,65.5
"145",65.2,65.5
"146",65.2,65.5
"147",65.2,65.5
"148",65.2,65.5
"149",65.2,65.5
"150",65.2,64.5
"151",65.2,64
"152",66.2,71.5
"153",66.2,71.5
"154",66.2,71.5
"155",66.2,70.5
"156",66.2,69.5
"157",66.2,69.5
"158",66.2,69.5
"159",66.2,69.5
"160",66.2,69.5
"161",66.2,69.5
"162",66.2,69.5
"163",66.2,69.5
"164",66.2,69.5
"165",66.2,69.5
"166",66.2,69.5
"167",66.2,69.5
"168",66.2,69.5
"169",66.2,69.5
"170",66.2,69.5
"171",66.2,69.5
"172",66.2,69.5
"173",66.2,68.5
"174",66.2,68.5
"175",66.2,68.5
"176",66.2,68.5
"177",66.2,68.5
"178",66.2,68.5
"179",66.2,68.5
"180",66.2,68.5
"181",66.2,68.5
"182",66.2,68.5
"183",66.2,68.5
"184",66.2,68.5
"185",66.2,68.5
"186",66.2,68.5
"187",66.2,68.5
"188",66.2,68.5
"189",66.2,68.5
"190",66.2,68.5
"191",66.2,68.5
"192",66.2,68.5
"193",66.2,68.5
"194",66.2,68.5
"195",66.2,68.5
"196",66.2,68.5
"197",66.2,68.5
"198",66.2,67.5
"199",66.2,67.5
"200",66.2,67.5
"201",66.2,67.5
"202",66.2,67.5
"203",66.2,67.5
"204",66.2,67.5
"205",66.2,67.5
"206",66.2,67.5
"207",66.2,67.5
"208",66.2,67.5
"209",66.2,67.5
"210",66.2,67.5
"211",66.2,67.5
"212",66.2,67.5
"213",66.2,67.5
"214",66.2,67.5
"215",66.2,67.5
"216",66.2,67.5
"217",66.2,67.5
"218",66.2,67.5
"219",66.2,67.5
"220",66.2,67.5
"221",66.2,67.5
"222",66.2,67.5
"223",66.2,67.5
"224",66.2,67.5
"225",66.2,67.5
"226",66.2,67.5
"227",66.2,67.5
"228",66.2,67.5
"229",66.2,67.5
"230",66.2,67.5
"231",66.2,67.5
"232",66.2,67.5
"233",66.2,67.5
"234",66.2,66.5
"235",66.2,66.5
"236",66.2,66.5
"237",66.2,66.5
"238",66.2,66.5
"239",66.2,66.5
"240",66.2,66.5
"241",66.2,66.5
"242",66.2,66.5
"243",66.2,66.5
"244",66.2,66.5
"245",66.2,66.5
"246",66.2,66.5
"247",66.2,66.5
"248",66.2,66.5
"249",66.2,66.5
"250",66.2,66.5
"251",66.2,65.5
"252",66.2,65.5
"253",66.2,65.5
"254",66.2,65.5
"255",66.2,65.5
